,end_date_volume,vw_x,end_date_open_price,end_date_close_price,end_date_high_price,end_date_low_price,t_x,n_x,ticker,start_date_volume,vw_y,start_date_open_price,start_date_close_price,start_date_high_price,start_date_low_proce,t_y,n_y
978,24916.0,15.8363,16.09,15.72,16.09,15.5713,1610082000000,238,EDUC,10258.0,5.147,5.29,5.125,5.29,5.05,1583125200000,93
979,214592.0,147.8605,148.82,147.55,149.76,146.58,1610082000000,4212,EEFT,146909.0,140.8544,145.26,140.65,145.7996,138.0514,1609736400000,4524
980,256513.0,4.855,5.14,4.71,5.22,4.68,1610082000000,2060,EEX,240414.0,5.2829,5.35,5.26,5.4,5.21,1609736400000,1151
981,221179.0,15.0801,15.15,15.15,15.17,14.92,1610082000000,1680,EFC,481088.0,14.5934,14.91,14.6,14.94,14.435,1609736400000,4153
982,356685.0,4.859,4.78,4.93,5.186,4.69,1610082000000,1766,EFOI,93358.0,4.1476,4.06,4.2,4.2499,4.055,1609736400000,442
983,106058.0,36.8116,37.45,37.03,37.76,36.2496,1610082000000,1844,EFSC,112227.0,34.6473,35.16,34.63,35.48,34.16,1609736400000,2359
984,878545.0,185.029,181.04,186.06,186.79,180.5083,1610082000000,12601,EFX,711232.0,188.0183,193.46,187.96,194.41,185.175,1609736400000,12176
985,449028.0,12.2718,12.41,12.295,12.46,12.0701,1610082000000,3221,EGAN,248363.0,10.5451,11.17,10.62,11.37,10.25,1593576000000,2778
986,166655.0,43.8855,44.91,43.88,45.11,43.21,1610082000000,1992,EGBN,172934.0,40.7657,41.35,40.75,41.93,40.175,1609736400000,2797
987,1494112.0,35.1739,34.5,35.32,35.55,34.15,1610082000000,12395,EGHT,2216507.0,13.105,13.5,12.87,13.73,12.72,1585713600000,21344
988,105969.0,21.1115,21.42,20.99,21.75,20.77,1610082000000,1679,EGLE,65383.0,19.5349,19.04,19.61,19.94,18.8,1609736400000,874
989,111207.0,135.4829,133.87,136.21,136.23,133.87,1610082000000,2741,EGP,239688.0,133.8858,138.94,132.6,138.94,132.41,1609736400000,6012
990,128003.0,49.7619,50.94,49.69,51.5625,48.95,1610082000000,2191,EGRX,131583.0,48.2717,46.77,48.66,48.77,46.6,1609736400000,2769
991,588395.0,2.0111,1.94,2.09,2.13,1.93,1610082000000,1707,EGY,235084.0,1.8103,1.8,1.85,1.86,1.75,1609736400000,768
992,526132.0,84.7181,86.44,85.19,86.44,83.81,1610082000000,7861,EHC,686271.0,82.3467,83.54,82.34,83.78,81.24,1609736400000,8881
993,530328.0,70.1093,70.34,70.0,70.93,69.38,1610082000000,8532,EHTH,442830.0,69.6072,71.58,69.43,71.88,68.81,1609736400000,7127
