,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc,currency_symbol,base_currency_symbol,base_currency_name,Market Cap,IPO Year,Sector,Industry
39,ABCB,Ameris Bancorp,stocks,us,XNAS,CS,True,usd,0000351569,BBG000CDY3H5,BBG001S80PX7,2022-03-22T00:00:00Z,,,,3287355670.0,1994.0,Finance,Major Banks
40,ABCL,AbCellera Biologics Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001703057,BBG00LLW2MF2,BBG00LLW2MH0,2022-03-22T00:00:00Z,,,,2501160228.0,2020.0,,
41,ABCM,Abcam plc American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001492074,BBG00XRJJLG2,BBG00XRJJM98,2022-03-22T00:00:00Z,,,,4120354134.0,2020.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
42,ABEO,Abeona Therapeutics Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0000318306,BBG000DT5D52,BBG001S8T7K0,2022-03-22T00:00:00Z,,,,39909396.0,,Health Care,Biotechnology: Pharmaceutical Preparations
44,ABEV,AMBEV S.A.,stocks,us,XNYS,ADRC,True,usd,0001565025,BBG000BN5VZ4,BBG005KLVT74,2022-03-22T00:00:00Z,,,,44697821823.0,2013.0,Consumer Non-Durables,Beverages (Production/Distribution)
45,ABG,"Asbury Automotive Group, Inc.",stocks,us,XNYS,CS,True,usd,0001144980,BBG000BKDWB5,BBG001S9B5H5,2022-03-22T00:00:00Z,,,,4412989352.0,2002.0,Consumer Services,Other Specialty Stores
46,ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001833764,,,2022-03-22T00:00:00Z,,,,188782351.0,2021.0,Finance,Business Services
47,ABIO,"ARCA biopharma, Inc.",stocks,us,XNAS,CS,True,usd,0000907654,BBG000BWNN28,BBG001SB1GL2,2022-03-22T00:00:00Z,,,,35881256.0,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
48,ABM,"ABM Industries, Inc.",stocks,us,XNYS,CS,True,usd,0000771497,BBG000B9YYH7,BBG001S5N9B8,2022-03-22T00:00:00Z,,,,2980353870.0,,Technology,Diversified Commercial Services
49,ABMD,Abiomed Inc,stocks,us,XNAS,CS,True,usd,0000815094,BBG000C101X4,BBG001S64SQ9,2022-03-22T00:00:00Z,,,,13851945146.0,,Health Care,Medical/Dental Instruments
50,ABNB,"Airbnb, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001559720,BBG001Y2XS07,BBG001Y2XS16,2022-03-22T00:00:00Z,,,,99598634169.0,2020.0,Transportation,Other Consumer Services
51,ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001576885,BBG0058YJ317,BBG0058YJ326,2022-03-22T00:00:00Z,,,,259414770.0,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
52,ABR,"Arbor Realty Trust, Inc.",stocks,us,XNYS,CS,True,usd,0001253986,BBG000KMVDV1,BBG001SJP3G4,2022-03-22T00:00:00Z,,,,2626990318.0,2004.0,Consumer Services,Real Estate Investment Trusts
56,ABSI,Absci Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001672688,BBG011N54CJ8,BBG011N54DC3,2022-03-22T00:00:00Z,,,,772212876.0,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
57,ABST,Absolute Software Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001071058,BBG000CP4V61,BBG001SD56D5,2022-03-22T00:00:00Z,,,,393608709.0,2020.0,,
58,ABT,Abbott Laboratories,stocks,us,XNYS,CS,True,usd,0000001800,BBG000B9ZXB4,BBG001S5N9M6,2022-03-22T00:00:00Z,,,,215938403594.0,,Health Care,Medical/Dental Instruments
59,ABTX,"Allegiance Bancshares, Inc.",stocks,us,XNAS,CS,True,usd,0001642081,BBG000BNYLL9,BBG001SQHRC8,2022-03-22T00:00:00Z,,,,901250016.0,2015.0,Finance,Major Banks
60,ABUS,Arbutus Biopharma Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001447028,BBG000RR8V85,BBG001S6RSK0,2022-03-22T00:00:00Z,,,,454843712.0,,,
61,ABVC,"ABVC BioPharma, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001173313,BBG000Q844Z2,BBG001SMCS49,2022-03-22T00:00:00Z,,,,64657217.0,,Health Care,Biotechnology: Pharmaceutical Preparations
62,AC,"Associated Capital Group, Inc.",stocks,us,XNYS,CS,True,usd,0001642122,BBG008NZ8QC0,BBG008NZ8QB1,2022-03-22T00:00:00Z,,,,914087125.0,2015.0,Finance,Investment Bankers/Brokers/Service
63,ACA,"Arcosa, Inc. Common Stock",stocks,us,XNYS,CS,True,usd,0001739445,BBG00JGMWFM9,BBG00JGMWGB9,2022-03-22T00:00:00Z,,,,2777005604.0,2018.0,Capital Goods,Engineering & Construction
64,ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001893219,BBG013X0S7F3,BBG013X0S889,2022-03-22T00:00:00Z,,,,0.0,2022.0,,
67,ACAD,Acadia Pharmaceuticals Inc.,stocks,us,XNAS,CS,True,usd,0001070494,BBG000BHG9K0,BBG001SB06N3,2022-03-22T00:00:00Z,,,,4091351124.0,2004.0,Health Care,Biotechnology: Pharmaceutical Preparations
68,ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001836274,BBG00Z9FJV00,BBG00Z9FJVV6,2022-03-22T00:00:00Z,,,,420900000.0,2021.0,,
71,ACAQ,Athena Consumer Acquisition Corp.,stocks,us,XNYS,CS,True,usd,0001869141,BBG011Y74LF6,BBG011Y74LG5,2022-03-22T00:00:00Z,,,,223353000.0,2021.0,,
74,ACAXU,Alset Capital Acquisition Corp. Unit,stocks,us,XNAS,UNIT,True,usd,0001897245,BBG014KG27W9,BBG014KG28Q4,2022-03-22T00:00:00Z,,,,0.0,2022.0,,
75,ACB,Aurora Cannabis Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001683541,BBG006SCSYG7,BBG001SV77D1,2022-03-22T00:00:00Z,,,,762444150.0,,,
76,ACBA,Ace Global Business Acquisition Limited Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001844389,,,2022-03-22T00:00:00Z,,,,61629720.0,2021.0,Finance,Business Services
79,ACC,"American Campus Communities, Inc.",stocks,us,XNYS,CS,True,usd,0001283630,BBG000M9KP89,BBG001SKBD83,2022-03-22T00:00:00Z,,,,7689811012.0,2004.0,Consumer Services,Real Estate Investment Trusts
80,ACCD,"Accolade, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001481646,BBG00S2L1Z00,BBG00S2L1ZR1,2022-03-22T00:00:00Z,,,,1143649130.0,2020.0,,
81,ACCO,Acco Brands Corporation,stocks,us,XNYS,CS,True,usd,0000712034,BBG000J06K07,BBG001SPBTK3,2022-03-22T00:00:00Z,,,,796524212.0,,Consumer Services,Advertising
82,ACDI,Ascendant Digital Acquisition Corp. III,stocks,us,XNYS,CS,True,usd,0001850316,,,2022-03-22T00:00:00Z,,,,,,,
85,ACEL,"Accel Entertainment, Inc.",stocks,us,XNYS,CS,True,usd,0001698991,BBG00GX221W3,BBG00GX221Z0,2022-03-22T00:00:00Z,,,,1238518589.0,2017.0,Consumer Services,Recreational Products/Toys
86,ACER,Acer Therapeutics Inc. Common Stock (DE),stocks,us,XNAS,CS,True,usd,0001069308,BBG000BG5S59,BBG001S7Q351,2022-03-22T00:00:00Z,,,,38065249.0,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
87,ACES,ALPS Clean Energy ETF,stocks,us,ARCX,ETF,True,usd,0001414040,BBG00L99FCT0,BBG00L99FDK7,2022-03-22T00:00:00Z,,,,,,,
88,ACET,"Adicet Bio, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001720580,BBG00JCXSJP3,BBG00JCXSJQ2,2022-03-22T00:00:00Z,,,,315396231.0,2018.0,Health Care,Biotechnology: Pharmaceutical Preparations
89,ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001813658,,,2022-03-22T00:00:00Z,,,,140220384.0,2020.0,Technology,Semiconductors
92,ACGL,Arch Capital Group Ltd,stocks,us,XNAS,CS,True,usd,0000947484,,,2022-03-22T00:00:00Z,,,,17375289818.0,,Finance,Property-Casualty Insurers
95,ACH,Alum Corp of China Limited,stocks,us,XNYS,ADRC,True,usd,0001161611,BBG000CMRVH1,BBG001SFLGF8,2022-03-22T00:00:00Z,,,,10390639569.0,2001.0,Basic Industries,Aluminum
96,ACHC,"Acadia Healthcare Company, Inc.",stocks,us,XNAS,CS,True,usd,0001520697,BBG000FPNN38,BBG001SNNWL7,2022-03-22T00:00:00Z,,,,5911952232.0,,Health Care,Hospital/Nursing Management
97,ACHL,Achilles Therapeutics plc American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001830749,BBG00ZHF9VV8,BBG00ZHF9WP3,2022-03-22T00:00:00Z,,,,129437245.0,2021.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
